Ticker,Company Name,Exchange ,Sector,Industry,CEO,Issue Type
ALK,Alaska Air Group Inc.,New York Stock Exchange,Industrials,Airlines,Bradley D. Tilden,cs
AIN,Albany International Corporation,New York Stock Exchange,Consumer Cyclical,Homebuilding & Construction,Olivier M. Jarrault,cs
ALB,Albemarle Corporation,New York Stock Exchange,Basic Materials,Chemicals,Luther C. Kissam,cs
AA,Alcoa Corporation,New York Stock Exchange,Basic Materials,Metals & Mining,Roy Christopher Harvey,cs
ALEX,Alexander & Baldwin Inc. REIT Holding Company,New York Stock Exchange,Real Estate,REITs,Christopher J. Benjamin,cs
ALX,Alexander's Inc.,New York Stock Exchange,Real Estate,REITs,Steven Roth,cs
ARE,Alexandria Real Estate Equities Inc.,New York Stock Exchange,Real Estate,REITs,Peter Moglia / Stephen A. Richardson,cs
AQN,Algonquin Power & Utilities Corp.,New York Stock Exchange,Utilities,Utilities - Independent Power Producers,Ian Robertson,cs
BABA,Alibaba Group Holding Limited,New York Stock Exchange,Consumer Cyclical,Retail - Apparel & Specialty,Yong Daniel Zhang,cs
Y,Alleghany Corporation,New York Stock Exchange,Financial Services,Insurance - Property & Casualty,Weston M. Hicks,cs
ATI,Allegheny Technologies Incorporated,New York Stock Exchange,Industrials,Industrial Products,Richard J. Harshman,cs
ALLE,Allegion plc,New York Stock Exchange,Industrials,Consulting & Outsourcing,David D. Petratis,cs
AGN,Allergan plc,New York Stock Exchange,Healthcare,Drug Manufacturers,Brenton L. Saunders,cs
ALE,Allete Inc.,New York Stock Exchange,Utilities,Utilities - Regulated,Alan R. Hodnik,cs
AKP,Alliance California Municipal Income Fund Inc,New York Stock Exchange,Financial Services,Asset Management,Robert M. Keith,cs
ADS,Alliance Data Systems Corporation,New York Stock Exchange,Financial Services,Credit Services,Edward J. Heffernan,cs
